+----------+----------+--------------+--------------+
|    x1    |    x2    |     f12      |     f21      |
|   0.00   |   1.12   |   63.5200    |   136.6192   |
|   0.00   |   1.13   |   63.9800    |   136.9442   |
|   0.00   |   1.14   |   64.4400    |   137.2728   |
|   0.00   |   1.15   |   64.9000    |   137.6050   |
|   0.00   |   1.16   |   65.3600    |   137.9408   |
|   0.00   |   1.17   |   65.8200    |   138.2802   |
|   0.00   |   1.18   |   66.2800    |   138.6232   |
|   0.00   |   1.19   |   66.7400    |   138.9698   |
|   0.00   |   1.20   |   67.2000    |   139.3200   |
|   0.00   |   1.21   |   67.6600    |   139.6738   |
|   0.00   |   1.22   |   68.1200    |   140.0312   |
|   0.00   |   1.23   |   68.5800    |   140.3922   |
|   0.00   |   1.24   |   69.0400    |   140.7568   |
|   0.00   |   1.25   |   69.5000    |   141.1250   |
|   0.00   |   1.26   |   69.9600    |   141.4968   |
|   0.00   |   1.27   |   70.4200    |   141.8722   |
|   0.00   |   1.28   |   70.8800    |   142.2512   |
|   0.00   |   1.29   |   71.3400    |   142.6338   |
|   0.00   |   1.30   |   71.8000    |   143.0200   |
|   0.00   |   1.31   |   72.2600    |   143.4098   |
|   0.00   |   1.32   |   72.7200    |   143.8032   |
|   0.00   |   1.33   |   73.1800    |   144.2002   |
|   0.00   |   1.34   |   73.6400    |   144.6008   |
|   0.00   |   1.35   |   74.1000    |   145.0050   |
|   0.00   |   1.36   |   74.5600    |   145.4128   |
|   0.00   |   1.37   |   75.0200    |   145.8242   |
|   0.00   |   1.38   |   75.4800    |   146.2392   |
|   0.00   |   1.39   |   75.9400    |   146.6578   |
|   0.00   |   1.40   |   76.4000    |   147.0800   |
|   0.00   |   1.41   |   76.8600    |   147.5058   |
|   0.00   |   1.42   |   77.3200    |   147.9352   |
|   0.00   |   1.43   |   77.7800    |   148.3682   |
|   0.00   |   1.44   |   78.2400    |   148.8048   |
|   0.00   |   1.45   |   78.7000    |   149.2450   |
|   0.00   |   1.46   |   79.1600    |   149.6888   |
|   0.00   |   1.47   |   79.6200    |   150.1362   |
|   0.00   |   1.48   |   80.0800    |   150.5872   |
|   0.00   |   1.49   |   80.5400    |   151.0418   |
|   0.00   |   1.50   |   81.0000    |   151.5000   |
|   0.00   |   1.51   |   81.4600    |   151.9618   |
|   0.00   |   1.52   |   81.9200    |   152.4272   |
|   0.00   |   1.53   |   82.3800    |   152.8962   |
|   0.00   |   1.54   |   82.8400    |   153.3688   |
|   0.00   |   1.55   |   83.3000    |   153.8450   |
|   0.00   |   1.56   |   83.7600    |   154.3248   |
|   0.00   |   1.57   |   84.2200    |   154.8082   |
|   0.00   |   1.58   |   84.6800    |   155.2952   |
|   0.00   |   1.59   |   85.1400    |   155.7858   |
|   0.00   |   1.60   |   85.6000    |   156.2800   |
|   0.00   |   1.61   |   86.0600    |   156.7778   |
|   0.00   |   1.62   |   86.5200    |   157.2792   |
|   0.00   |   1.63   |   86.9800    |   157.7842   |
|   0.00   |   1.64   |   87.4400    |   158.2928   |
|   0.00   |   1.65   |   87.9000    |   158.8050   |
|   0.00   |   1.66   |   88.3600    |   159.3208   |
|   0.00   |   1.67   |   88.8200    |   159.8402   |
|   0.00   |   1.68   |   89.2800    |   160.3632   |
|   0.00   |   1.69   |   89.7400    |   160.8898   |
|   0.00   |   1.70   |   90.2000    |   161.4200   |
|   0.00   |   1.71   |   90.6600    |   161.9538   |
|   0.00   |   1.72   |   91.1200    |   162.4912   |
|   0.00   |   1.73   |   91.5800    |   163.0322   |
|   0.00   |   1.74   |   92.0400    |   163.5768   |
|   0.00   |   1.75   |   92.5000    |   164.1250   |
|   0.00   |   1.76   |   92.9600    |   164.6768   |
|   0.00   |   1.77   |   93.4200    |   165.2322   |
|   0.00   |   1.78   |   93.8800    |   165.7912   |
|   0.00   |   1.79   |   94.3400    |   166.3538   |
|   0.00   |   1.80   |   94.8000    |   166.9200   |
|   0.00   |   1.81   |   95.2600    |   167.4898   |
|   0.00   |   1.82   |   95.7200    |   168.0632   |
|   0.00   |   1.83   |   96.1800    |   168.6402   |
|   0.00   |   1.84   |   96.6400    |   169.2208   |
|   0.00   |   1.85   |   97.1000    |   169.8050   |
|   0.00   |   1.86   |   97.5600    |   170.3928   |
|   0.00   |   1.87   |   98.0200    |   170.9842   |
|   0.00   |   1.88   |   98.4800    |   171.5792   |
|   0.00   |   1.89   |   98.9400    |   172.1778   |
|   0.00   |   1.90   |   99.4000    |   172.7800   |
|   0.00   |   1.91   |   99.8600    |   173.3858   |
|   0.00   |   1.92   |   100.3200   |   173.9952   |
|   0.00   |   1.93   |   100.7800   |   174.6082   |
|   0.00   |   1.94   |   101.2400   |   175.2248   |
|   0.00   |   1.95   |   101.7000   |   175.8450   |
|   0.00   |   1.96   |   102.1600   |   176.4688   |
|   0.00   |   1.97   |   102.6200   |   177.0962   |
|   0.00   |   1.98   |   103.0800   |   177.7272   |
|   0.00   |   1.99   |   103.5400   |   178.3618   |
|   0.00   |   2.00   |   104.0000   |   179.0000   |
+----------+----------+--------------+--------------+
|   0.01   |   0.00   |   12.0680    |   122.6800   |
|   0.01   |   0.01   |   12.5280    |   122.6018   |
|   0.01   |   0.02   |   12.9880    |   122.5272   |
|   0.01   |   0.03   |   13.4480    |   122.4562   |
|   0.01   |   0.04   |   13.9080    |   122.3889   |
|   0.01   |   0.05   |   14.3679    |   122.3251   |
|   0.01   |   0.06   |   14.8279    |   122.2649   |
|   0.01   |   0.07   |   15.2879    |   122.2083   |
|   0.01   |   0.08   |   15.7478    |   122.1553   |
|   0.01   |   0.09   |   16.2078    |   122.1059   |
|   0.01   |   0.10   |   16.6677    |   122.0601   |
|   0.01   |   0.11   |   17.1276    |   122.0180   |
|   0.01   |   0.12   |   17.5876    |   121.9794   |
|   0.01   |   0.13   |   18.0475    |   121.9444   |
|   0.01   |   0.14   |   18.5074    |   121.9130   |
|   0.01   |   0.15   |   18.9673    |   121.8852   |
|   0.01   |   0.16   |   19.4272    |   121.8610   |
|   0.01   |   0.17   |   19.8871    |   121.8405   |
|   0.01   |   0.18   |   20.3470    |   121.8235   |
|   0.01   |   0.19   |   20.8069    |   121.8101   |
|   0.01   |   0.20   |   21.2668    |   121.8003   |
|   0.01   |   0.21   |   21.7267    |   121.7941   |
|   0.01   |   0.22   |   22.1865    |   121.7915   |
|   0.01   |   0.23   |   22.6464    |   121.7925   |
|   0.01   |   0.24   |   23.1063    |   121.7972   |
|   0.01   |   0.25   |   23.5661    |   121.8054   |
|   0.01   |   0.26   |   24.0260    |   121.8172   |
